quick
15.560000
18.500000
19.160000
19.600000
19.830000
19.920000
20.020000
20.110000
20.120000
20.140000
20.140000
merge
16.030000
18.980000
20.130000
20.870000
21.370000
21.690000
21.900000
22.090000
22.200000
22.340000
22.250000
heap
27.740000
28.530000
29.120000
29.390000
29.660000
29.800000
30.020000
30.130000
30.210000
30.240000
30.260000
