quick
15.560000
18.670000
19.270000
19.610000
19.820000
19.940000
20.020000
20.060000
20.100000
20.110000
20.200000
merge
15.920000
19.110000
20.250000
20.950000
21.390000
21.690000
21.890000
22.030000
22.100000
22.150000
22.230000
heap
27.720000
28.650000
29.130000
29.610000
29.750000
30.000000
30.020000
30.100000
30.150000
30.170000
30.230000
